,node_id,freq,smi
0,L105,33802,[Zn][O]([Zn])([Zn])[Zn]
1,L72,24477,[Zn][Zn]
2,L75,24097,[Cu][Cu]
3,L22,5262,[V]
4,L54,3166,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
5,L6,102,[V]O[V]1[O]2[O]1[V]2O[V]
6,L44,85,[V]1[V]O[V]2[O]3[V](O1)[O]23
7,L116,81,[O][V]12([O])O[V][V]O[V]3([O]1[O]23)([O])[O]
8,L15,75,[O][V]O[V]
9,L36,45,[V]1[V]O1
10,L46,34,[V]O[V]
11,L114,21,[V][V]
12,L112,16,[O-]C(=O)C#CC(=O)[O]12[O]3[Zn]452[O]1[C]1C#C[C]2[O]67[Zn]89[O]%105[Zn]5%11%12[O]1[O]15[O]%12[C]5[O]%12[Zn]%13%10([O]%10[C]3C#C[C]([O]39O[C](O[O]8([C](O4)C#C5)O[C](O6)C#CC(=O)OOC(=O)C#CC(=O)OO[C](C#CC1=O)OOC(=O)C#CC(=O)[O-])C#CC(=O)OO[C](OOC(=O)C#C[C](O3)O7)C#CC(=O)OOC(=O)C#CC(=O)[O]%12%13%10)O%11)O2
13,L57,15,[V]O[V]O[V]
14,L47,14,[V]O[V]1([O])([O])[O]2[O]1[V]2([O])([O])O[V]
